generation_id,prompt_id,generator_id,seed,image_path,runtime_ms,error_type
SAFE_CULT_05_COMMON_NEAR_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_05_COMMON_NEAR_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_COMMON_NEAR_LIMIT_FRONT__altdiffusion-m18__s042.png,261988.661,
SAFE_CULT_05_COMMON_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_05_COMMON_NEAR_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_COMMON_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042.png,262203.904,
SAFE_CULT_05_COMMON_NEAR_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_05_COMMON_NEAR_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_COMMON_NEAR_LIMIT_BACK__altdiffusion-m18__s042.png,263321.863,
SAFE_CULT_05_COMMON_OVER_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_05_COMMON_OVER_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_COMMON_OVER_LIMIT_FRONT__altdiffusion-m18__s042.png,263118.786,
SAFE_CULT_05_COMMON_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_05_COMMON_OVER_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_COMMON_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042.png,265897.279,
SAFE_CULT_05_COMMON_OVER_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_05_COMMON_OVER_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_COMMON_OVER_LIMIT_BACK__altdiffusion-m18__s042.png,265066.634,
SAFE_CULT_05_RARE_SHORT_FRONT__altdiffusion-m18__s042,SAFE_CULT_05_RARE_SHORT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_RARE_SHORT_FRONT__altdiffusion-m18__s042.png,265460.273,
SAFE_CULT_05_RARE_SHORT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_05_RARE_SHORT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_RARE_SHORT_MIDDLE__altdiffusion-m18__s042.png,263155.586,
SAFE_CULT_05_RARE_SHORT_BACK__altdiffusion-m18__s042,SAFE_CULT_05_RARE_SHORT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_RARE_SHORT_BACK__altdiffusion-m18__s042.png,263928.762,
SAFE_CULT_05_RARE_NEAR_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_05_RARE_NEAR_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_RARE_NEAR_LIMIT_FRONT__altdiffusion-m18__s042.png,264527.463,
